,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,1839,BNB,BNB,bnb,2344,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'ethereum-ecosystem', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,142480996.29,142480996.29,False,,6,,,,2025-01-26T02:17:00.000Z,688.6322682948245,1445026630.2600536,-16.3988,-0.03867582,0.84904429,-3.36512899,-0.44182892,12.47061791,17.23484836,98117011664.08917,2.7317,98117011664.09,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
6,74,Dogecoin,DOGE,dogecoin,1156,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain-ecosystem', 'ftx-bankruptcy-estate', 'made-in-america']",,147777026383.70526,147777026383.70526,True,,7,,,,2025-01-26T02:17:00.000Z,0.3532655357949127,1398971000.8616574,-34.3177,-0.36377777,0.90813958,-12.74999242,12.06833827,-8.80592868,147.04165578,52204530403.61859,1.453,52204530403.62,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
7,3408,USDC,USDC,usd-coin,25177,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'waves-ecosystem', 'bitcoin-cash-ecosystem', 'wanchain-ecosystem', 'coinbase-ventures-portfolio', 'algorand-ecosystem', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'iotex-ecosystem', 'harmony-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'usd-stablecoin', 'everscale-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'zksync-era-ecosystem', 'pulsechain-ecosystem', 'base-ecosystem', 'sei-ecosystem', 'multiversx-ecosystem', 'fiat-stablecoin', 'viction-ecosystem', 'gnosis-chain-ecosystem', 'okexchain-ecosystem', 'conflux-ecosystem', 'kcc-ecosystem', 'tron20-ecosystem', 'kardiachain-ecosystem', 'telos-ecosystem', 'ronin-ecosystem', 'boba-network-ecosystem', 'kava-ecosystem', 'secret-ecosystem', 'aurora-ecosystem', 'metis-andromeda-ecosystem', 'meter-ecosystem', 'fuse-ecosystem', 'elastos-ecosystem', 'syscoin-ecosystem', 'milkomeda-ecosystem', 'evmos-ecosystem', 'bitgert-ecosystem', 'astar-ecosystem', 'thundercore-ecosystem', 'tomb-chain-ecosystem', 'wemix-ecosystem', 'sx-network-ecosystem', 'godwoken-ecosystem', 'energi-ecosystem', 'core-ecosystem', 'polygon-zkevm-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'neon-evm-ecosystem', 'scroll-ecosystem', 'shido-network-ecosystem', 'made-in-america']",,52183307679.55824,52183307679.55824,False,,8,,,,2025-01-26T02:17:00.000Z,0.9999135770252969,6606059056.108351,-33.8476,-0.00691842,0.0104406,-0.0128765,-0.00795829,-0.00837809,-0.00069192,52178797842.87873,1.4523,52178797842.88,,2025-01-26T02:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-01-25 21:18:07.353466
8,2010,Cardano,ADA,cardano,1452,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america']",45000000000.0,35180226133.471306,44995094872.69515,False,,9,,,,2025-01-26T02:16:00.000Z,0.9765021489657815,490869612.22746086,-44.9306,-0.31420854,-0.03047985,-13.94867421,12.36743812,3.60614031,189.15666913,34353566420.436874,0.9565,43942596703.46,,2025-01-26T02:16:00.000Z,,,,,,2025-01-25 21:18:07.353466
9,1958,TRON,TRX,tron,1111,2017-09-13T00:00:00.000Z,"['media', 'payments', 'ethereum-ecosystem', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem']",,86134757456.4815,86134750072.31128,True,,10,,,,2025-01-26T02:17:00.000Z,0.25177908417823675,447969749.2514097,-41.7452,-0.37962883,-1.73727179,2.94087768,-1.33964962,29.01973824,53.68848983,21686930348.30746,0.6036,21686928489.13,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
10,1975,Chainlink,LINK,chainlink,1922,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'substrate', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america']",,638099970.4527867,1000000000.0,False,,11,,,,2025-01-26T02:17:00.000Z,25.012547415958565,412769847.0873086,-44.1491,-0.22252395,0.06637156,2.76471905,8.20053872,45.75235505,129.23886876,15960505767.072086,0.4442,25012547415.96,,2025-01-26T02:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-01-25 21:18:07.353466
11,5805,Avalanche,AVAX,avalanche,853,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonbeam-ecosystem', 'real-world-assets', 'layer-1', 'zksync-era-ecosystem', 'klaytn-ecosystem', 'made-in-america']",715748719.0,411587792.9759461,449924092.9759461,False,,12,,,,2025-01-26T02:17:00.000Z,37.02556487066303,596584142.9519689,-1.6308,-0.22239488,4.35268785,-7.69229787,-1.700857,-13.15153704,44.49621183,15239270528.80392,0.4243,26501000626.43,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
12,4642,Hedera,HBAR,hedera,309,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'defi', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'real-world-assets', 'layer-1', 'made-in-america']",50000000000.0,38267523240.46707,50000000000.0,False,,13,,,,2025-01-26T02:16:00.000Z,0.3345106863738364,357680023.16531587,-43.5405,0.17732744,-0.12442766,-7.08755102,14.60595295,147.53686042,593.05591462,12800895464.995377,0.3564,16725534318.69,,2025-01-26T02:16:00.000Z,,,,,,2025-01-25 21:18:07.353466
13,512,Stellar,XLM,stellar,666,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30519751400.590923,50001786894.45155,False,,14,,,,2025-01-26T02:17:00.000Z,0.41732328540064934,293047858.074632,-28.0077,-0.19433895,-3.76902591,-15.35995377,16.01715748,-3.31521252,344.38438359,12736602924.105673,0.3546,20866918294.75,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
14,11419,Toncoin,TON,toncoin,668,2021-08-26T13:40:22.000Z,"['pos', 'ethereum-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem', 'cmc-crypto-yearbook-2024-2025']",,2488814969.0898223,5120732434.6237135,True,,15,,,,2025-01-26T02:17:00.000Z,5.094691524670808,107947909.91686553,-39.6703,-0.10137364,0.86211801,-4.62604901,-11.57503132,-17.87241392,2.60051164,12679744529.495758,0.3529,26088552134.78,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
0,1,Bitcoin,BTC,bitcoin,11878,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19815115.0,19815115.0,False,,1,,,,2025-01-26T02:16:00.000Z,104584.47273299968,22429952232.908043,-56.3168,-0.00171337,-0.1384942,-0.13813895,8.78520689,13.24506507,54.58801224,2072353354418.753,57.6856,2196273927392.99,,2025-01-26T02:16:00.000Z,,,,,,2025-01-25 21:18:07.353466
1,1027,Ethereum,ETH,ethereum,9896,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'binance-labs-portfolio', 'solana-ecosystem', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'tezos-ecosystem', 'near-protocol-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'osmosis-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'zksync-era-ecosystem', 'viction-ecosystem', 'klaytn-ecosystem', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'starknet-ecosystem']",,120508314.25647931,120508314.25647931,True,,2,,,,2025-01-26T02:17:00.000Z,3326.4251756602794,12589754265.022749,-49.8698,0.00505638,0.75099744,-0.61404615,-1.33923585,0.1714713,33.54319793,400861890419.1333,11.157,400861890419.13,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
2,52,XRP,XRP,xrp,1517,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america']",100000000000.0,57641211234.0,99986586496.0,False,,3,,,,2025-01-26T02:17:00.000Z,3.1194686026576552,3091888286.187648,-53.9772,-0.07473733,0.00624151,-4.72023311,43.2784553,126.77417025,506.62330615,179809948663.62073,5.0061,311946860265.77,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
3,825,Tether USDt,USDT,tether,114722,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'waves-ecosystem', 'bitcoin-cash-ecosystem', 'heco-ecosystem', 'algorand-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'polygon-ecosystem', 'fantom-ecosystem', 'tezos-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'iotex-ecosystem', 'zilliqa-ecosystem', 'harmony-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'usd-stablecoin', 'xdc-ecosystem', 'everscale-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'zksync-era-ecosystem', 'pulsechain-ecosystem', 'sei-ecosystem', 'toncoin-ecosystem', 'fiat-stablecoin', 'viction-ecosystem', 'gnosis-chain-ecosystem', 'klaytn-ecosystem', 'okexchain-ecosystem', 'conflux-ecosystem', 'kcc-ecosystem', 'tron20-ecosystem', 'kardiachain-ecosystem', 'rsk-rbtc-ecosystem', 'telos-ecosystem', 'boba-network-ecosystem', 'fusion-network-ecosystem', 'hoo-smart-chain-ecosystem', 'secret-ecosystem', 'aurora-ecosystem', 'metis-andromeda-ecosystem', 'meter-ecosystem', 'fuse-ecosystem', 'syscoin-ecosystem', 'milkomeda-ecosystem', 'bitgert-ecosystem', 'astar-ecosystem', 'cube-network-ecosystem', 'thundercore-ecosystem', 'redlight-chain-ecosystem', 'core-ecosystem', 'polygon-zkevm-ecosystem', 'eos-evm-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'neon-evm-ecosystem', 'manta-pacific-ecosystem', 'scroll-ecosystem', 'x-layer-ecosystem']",,139329876218.59555,141572991338.46188,True,,4,,,,2025-01-26T02:17:00.000Z,0.9998109501077799,62240322316.59578,-40.6975,-0.00406459,0.01143401,0.0755012,0.12532401,0.01820564,0.11341921,139303535920.51337,3.8772,141546226979.71,,2025-01-26T02:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2025-01-25 21:18:07.353466
4,5426,Solana,SOL,solana,832,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'alleged-sec-securities', 'cmc-crypto-awards-2024', 'made-in-america']",,486617531.6498966,592771564.0757486,True,,5,,,,2025-01-26T02:17:00.000Z,254.29608938082055,4707875749.780404,-37.5227,-0.75992224,0.8485499,-1.22139142,34.07632245,10.38420549,44.64282438,123744935322.71638,3.4441,150739490640.62,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
5,1839,BNB,BNB,bnb,2344,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'ethereum-ecosystem', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain-ecosystem', 'layer-1', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,142480996.29,142480996.29,False,,6,,,,2025-01-26T02:17:00.000Z,688.6322682948245,1445026630.2600536,-16.3988,-0.03867582,0.84904429,-3.36512899,-0.44182892,12.47061791,17.23484836,98117011664.08917,2.7317,98117011664.09,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
6,74,Dogecoin,DOGE,dogecoin,1156,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain-ecosystem', 'ftx-bankruptcy-estate', 'made-in-america']",,147777026383.70526,147777026383.70526,True,,7,,,,2025-01-26T02:17:00.000Z,0.3532655357949127,1398971000.8616574,-34.3177,-0.36377777,0.90813958,-12.74999242,12.06833827,-8.80592868,147.04165578,52204530403.61859,1.453,52204530403.62,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
7,3408,USDC,USDC,usd-coin,25177,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'ethereum-ecosystem', 'waves-ecosystem', 'bitcoin-cash-ecosystem', 'wanchain-ecosystem', 'coinbase-ventures-portfolio', 'algorand-ecosystem', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'polygon-ecosystem', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'celo-ecosystem', 'iotex-ecosystem', 'harmony-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain-ecosystem', 'oasis-ecosystem', 'moonbeam-ecosystem', 'usd-stablecoin', 'everscale-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'aptos-ecosystem', 'sui-ecosystem', 'optimism-ecosystem', 'canto-ecosystem', 'osmosis-ecosystem', 'zksync-era-ecosystem', 'pulsechain-ecosystem', 'base-ecosystem', 'sei-ecosystem', 'multiversx-ecosystem', 'fiat-stablecoin', 'viction-ecosystem', 'gnosis-chain-ecosystem', 'okexchain-ecosystem', 'conflux-ecosystem', 'kcc-ecosystem', 'tron20-ecosystem', 'kardiachain-ecosystem', 'telos-ecosystem', 'ronin-ecosystem', 'boba-network-ecosystem', 'kava-ecosystem', 'secret-ecosystem', 'aurora-ecosystem', 'metis-andromeda-ecosystem', 'meter-ecosystem', 'fuse-ecosystem', 'elastos-ecosystem', 'syscoin-ecosystem', 'milkomeda-ecosystem', 'evmos-ecosystem', 'bitgert-ecosystem', 'astar-ecosystem', 'thundercore-ecosystem', 'tomb-chain-ecosystem', 'wemix-ecosystem', 'sx-network-ecosystem', 'godwoken-ecosystem', 'energi-ecosystem', 'core-ecosystem', 'polygon-zkevm-ecosystem', 'starknet-ecosystem', 'mantle-ecosystem', 'neon-evm-ecosystem', 'scroll-ecosystem', 'shido-network-ecosystem', 'made-in-america']",,52183307679.55824,52183307679.55824,False,,8,,,,2025-01-26T02:17:00.000Z,0.9999135770252969,6606059056.108351,-33.8476,-0.00691842,0.0104406,-0.0128765,-0.00795829,-0.00837809,-0.00069192,52178797842.87873,1.4523,52178797842.88,,2025-01-26T02:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2025-01-25 21:18:07.353466
8,2010,Cardano,ADA,cardano,1452,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'alleged-sec-securities', '2017-2018-alt-season', 'made-in-america']",45000000000.0,35180226133.471306,44995094872.69515,False,,9,,,,2025-01-26T02:16:00.000Z,0.9765021489657815,490869612.22746086,-44.9306,-0.31420854,-0.03047985,-13.94867421,12.36743812,3.60614031,189.15666913,34353566420.436874,0.9565,43942596703.46,,2025-01-26T02:16:00.000Z,,,,,,2025-01-25 21:18:07.353466
9,1958,TRON,TRX,tron,1111,2017-09-13T00:00:00.000Z,"['media', 'payments', 'ethereum-ecosystem', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'alleged-sec-securities', '2017-2018-alt-season', 'tron20-ecosystem']",,86134757456.4815,86134750072.31128,True,,10,,,,2025-01-26T02:17:00.000Z,0.25177908417823675,447969749.2514097,-41.7452,-0.37962883,-1.73727179,2.94087768,-1.33964962,29.01973824,53.68848983,21686930348.30746,0.6036,21686928489.13,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
10,1975,Chainlink,LINK,chainlink,1922,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'ethereum-ecosystem', 'substrate', 'polkadot', 'heco-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosystem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate', 'gnosis-chain-ecosystem', 'sora-ecosystem', 'hoo-smart-chain-ecosystem', 'milkomeda-ecosystem', 'energi-ecosystem', 'made-in-america']",,638099970.4527867,1000000000.0,False,,11,,,,2025-01-26T02:17:00.000Z,25.012547415958565,412769847.0873086,-44.1491,-0.22252395,0.06637156,2.76471905,8.20053872,45.75235505,129.23886876,15960505767.072086,0.4442,25012547415.96,,2025-01-26T02:17:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2025-01-25 21:18:07.353466
11,5805,Avalanche,AVAX,avalanche,853,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonbeam-ecosystem', 'real-world-assets', 'layer-1', 'zksync-era-ecosystem', 'klaytn-ecosystem', 'made-in-america']",715748719.0,411587792.9759461,449924092.9759461,False,,12,,,,2025-01-26T02:17:00.000Z,37.02556487066303,596584142.9519689,-1.6308,-0.22239488,4.35268785,-7.69229787,-1.700857,-13.15153704,44.49621183,15239270528.80392,0.4243,26501000626.43,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
12,4642,Hedera,HBAR,hedera,309,2019-09-17T00:00:00.000Z,"['dag', 'marketplace', 'enterprise-solutions', 'defi', 'payments', 'dcg-portfolio', 'hedera-hashgraph-ecosystem', 'real-world-assets', 'layer-1', 'made-in-america']",50000000000.0,38267523240.46707,50000000000.0,False,,13,,,,2025-01-26T02:16:00.000Z,0.3345106863738364,357680023.16531587,-43.5405,0.17732744,-0.12442766,-7.08755102,14.60595295,147.53686042,593.05591462,12800895464.995377,0.3564,16725534318.69,,2025-01-26T02:16:00.000Z,,,,,,2025-01-25 21:18:07.353466
13,512,Stellar,XLM,stellar,666,2014-08-05T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'decentralized-exchange-dex-token', 'smart-contracts', 'hashkey-capital-portfolio', '2017-2018-alt-season', 'made-in-america']",50001806812.0,30519751400.590923,50001786894.45155,False,,14,,,,2025-01-26T02:17:00.000Z,0.41732328540064934,293047858.074632,-28.0077,-0.19433895,-3.76902591,-15.35995377,16.01715748,-3.31521252,344.38438359,12736602924.105673,0.3546,20866918294.75,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
14,11419,Toncoin,TON,toncoin,668,2021-08-26T13:40:22.000Z,"['pos', 'ethereum-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem', 'cmc-crypto-yearbook-2024-2025']",,2488814969.0898223,5120732434.6237135,True,,15,,,,2025-01-26T02:17:00.000Z,5.094691524670808,107947909.91686553,-39.6703,-0.10137364,0.86211801,-4.62604901,-11.57503132,-17.87241392,2.60051164,12679744529.495758,0.3529,26088552134.78,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
0,1,Bitcoin,BTC,bitcoin,11878,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate', '2017-2018-alt-season']",21000000.0,19815115.0,19815115.0,False,,1,,,,2025-01-26T02:16:00.000Z,104584.47273299968,22429952232.908043,-56.3168,-0.00171337,-0.1384942,-0.13813895,8.78520689,13.24506507,54.58801224,2072353354418.753,57.6856,2196273927392.99,,2025-01-26T02:16:00.000Z,,,,,,2025-01-25 21:18:07.353466
1,1027,Ethereum,ETH,ethereum,9896,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'heco-ecosystem', 'binance-labs-portfolio', 'solana-ecosystem', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'tezos-ecosystem', 'near-protocol-ecosystem', 'velas-ecosystem', 'ethereum-pow-ecosystem', 'osmosis-ecosystem', 'layer-1', 'ftx-bankruptcy-estate', 'zksync-era-ecosystem', 'viction-ecosystem', 'klaytn-ecosystem', 'sora-ecosystem', 'rsk-rbtc-ecosystem', 'starknet-ecosystem']",,120508314.25647931,120508314.25647931,True,,2,,,,2025-01-26T02:17:00.000Z,3326.4251756602794,12589754265.022749,-49.8698,0.00505638,0.75099744,-0.61404615,-1.33923585,0.1714713,33.54319793,400861890419.1333,11.157,400861890419.13,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
2,52,XRP,XRP,xrp,1517,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'xrp-ecosystem', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate', '2017-2018-alt-season', 'klaytn-ecosystem', 'made-in-america']",100000000000.0,57641211234.0,99986586496.0,False,,3,,,,2025-01-26T02:17:00.000Z,3.1194686026576552,3091888286.187648,-53.9772,-0.07473733,0.00624151,-4.72023311,43.2784553,126.77417025,506.62330615,179809948663.62073,5.0061,311946860265.77,,2025-01-26T02:17:00.000Z,,,,,,2025-01-25 21:18:07.353466
